施設名,住所,延床面積,建築年度,用途,管理者,出典ファイル,用途地域リンク
大和田老人憩の家,大阪市西淀川区大和田4-6-14,122.31,1992,一般会計その他施設地域利用施設／地域集会施設,無償貸付 西淀川区役所,11_nishiyodogawa_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.444427&mpy=34.707062&gprj=3
佃斎場,大阪市西淀川区佃6-4-18,771.55,1981,一般会計その他施設斎場・霊園／斎場施設,指定管理（使用料施設）環境局 総務部 施設管理課,11_nishiyodogawa_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.433777&mpy=34.710564&gprj=3
災害対策用職員住宅,大阪市西淀川区××××××××,53.9,－,一般会計その他施設一般会計その他施設職員住宅・宿舎／災害対策用職員住宅,その他 危機管理室,11_nishiyodogawa_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.526688&mpy=34.622059&gprj=3
大気汚染常時監視測定局（出来島小学校）,大阪市西淀川区出来島2-2-24,18.72,1970,一般会計その他施設一般会計その他施設測定局・観測局／大気汚染常時監視測定局,直営 環境局 環境管理部,11_nishiyodogawa_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.437225&mpy=34.70454&gprj=3
西淀川備蓄倉庫,大阪市西淀川区××××××××,723.10,2005,一般会計その他施設一般会計その他施設倉庫／備蓄倉庫,直営 危機管理室,11_nishiyodogawa_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.456116&mpy=34.711388&gprj=3
大野川遊歩道公衆トイレ,大阪市西淀川区御幣島3-1,37.95,1995,一般会計その他施設一般会計その他施設休憩所・トイレ／休憩所・トイレ,直営（一部委託） 環境局 事業部,11_nishiyodogawa_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.459305&mpy=34.715885&gprj=3
福町自転車保管所管理事務所,大阪市西淀川区福町2-2,27.20,1991,インフラ関係施設／自転車保管所管理事務所,全部委託 建設局 総務部,11_nishiyodogawa_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.44342&mpy=34.6982&gprj=3
大和田自転車保管所管理事務所,大阪市西淀川区大和田1-1,25.65,1997,インフラ関係施設／自転車保管所管理事務所,直営 建設局 総務部,11_nishiyodogawa_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.451935&mpy=34.706665&gprj=3
西島自転車保管所管理事務所,大阪市西淀川区西島1-2,13.17,1996,インフラ関係施設／自転車保管所管理事務所,直営 建設局 総務部,11_nishiyodogawa_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.429886&mpy=34.699467&gprj=3
福駅自転車駐車場管理事務所,大阪市西淀川区福町3-2,8.10,2010,インフラ関係施設／自転車駐車場管理事務所,指定管理（利用料金施設）建設局 総務部 管理課,11_nishiyodogawa_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.444046&mpy=34.700577&gprj=3
千船駅自転車駐車場管理事務所,大阪市西淀川区佃2-2,3.89,1991,インフラ関係施設／自転車駐車場管理事務所,指定管理（利用料金施設）建設局 総務部 管理課,11_nishiyodogawa_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.446503&mpy=34.712452&gprj=3
出来島駅自転車駐車場管理事務所,大阪市西淀川区出来島1-13,12.56,1989,インフラ関係施設／自転車駐車場管理事務所,指定管理（利用料金施設）建設局 総務部 管理課,11_nishiyodogawa_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.437164&mpy=34.707188&gprj=3
姫島駅自転車駐車場管理事務所,大阪市西淀川区姫島1-19,10.80,2004,インフラ関係施設／自転車駐車場管理事務所,指定管理（利用料金施設）建設局 総務部 管理課,11_nishiyodogawa_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.45813&mpy=34.703732&gprj=3
塚本駅自転車駐車場管理ボックス,大阪市西淀川区柏里1-14-17,1.20,1992,インフラ関係施設／自転車駐車場管理事務所,指定管理（利用料金施設）建設局 総務部 管理課,11_nishiyodogawa_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.469482&mpy=34.711075&gprj=3
姫島駅自転車駐車場管理ボックス,大阪市西淀川区姫島2-10,2.38,2004,インフラ関係施設／自転車駐車場管理事務所,指定管理（利用料金施設）建設局 総務部 管理課,11_nishiyodogawa_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.454254&mpy=34.70327&gprj=3
歌島公園,大阪市西淀川区御幣島5-7,46.15,2011,インフラ関係施設／公園付帯施設,直営 建設局 公園緑化部,11_nishiyodogawa_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.457779&mpy=34.719921&gprj=3
御幣島東公園,大阪市西淀川区御幣島3-7,19.20,1995,インフラ関係施設／公園付帯施設,直営 建設局 公園緑化部,11_nishiyodogawa_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.457932&mpy=34.717499&gprj=3
新淀川公園,大阪市西淀川区百島1-3,19.20,2003,インフラ関係施設／公園付帯施設,直営 建設局 公園緑化部,11_nishiyodogawa_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.438019&mpy=34.695374&gprj=3
西姫島公園,大阪市西淀川区姫島6-4,6.17,1993,インフラ関係施設／公園付帯施設,直営 建設局 公園緑化部,11_nishiyodogawa_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.446426&mpy=34.701645&gprj=3
西淀公園,大阪市西淀川区大和田1-1,221.46,1981,インフラ関係施設／公園付帯施設,直営 建設局 公園緑化部,11_nishiyodogawa_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.451935&mpy=34.706665&gprj=3
大和田中央公園,大阪市西淀川区大和田4-4,19.20,1997,インフラ関係施設／公園付帯施設,直営 建設局 公園緑化部,11_nishiyodogawa_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.443817&mpy=34.705727&gprj=3
大和田北公園,大阪市西淀川区大和田5-20,6.17,1993,インフラ関係施設／公園付帯施設,直営 建設局 公園緑化部,11_nishiyodogawa_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.44368&mpy=34.708546&gprj=3
中島公園,大阪市西淀川区中島1-22,152.33,2002,インフラ関係施設／公園付帯施設,直営 建設局 公園緑化部,11_nishiyodogawa_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.426559&mpy=34.698772&gprj=3
佃ふれあい公園,大阪市西淀川区佃2-1,18.24,2000,インフラ関係施設／公園付帯施設,直営 建設局 公園緑化部,11_nishiyodogawa_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.44812&mpy=34.713013&gprj=3
姫島公園,大阪市西淀川区姫島4-14,19.20,1999,インフラ関係施設／公園付帯施設,直営 建設局 公園緑化部,11_nishiyodogawa_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.452179&mpy=34.704315&gprj=3
福町東公園,大阪市西淀川区福町1-11,19.20,1998,インフラ関係施設／公園付帯施設,直営 建設局 公園緑化部,11_nishiyodogawa_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.444839&mpy=34.697983&gprj=3
北之町公園,大阪市西淀川区歌島3-7,6.17,1994,インフラ関係施設／公園付帯施設,直営 建設局 公園緑化部,11_nishiyodogawa_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.46109&mpy=34.713726&gprj=3
竹島西公園,大阪市西淀川区竹島5-5,21.12,2009,インフラ関係施設／公園付帯施設,直営 建設局 公園緑化部,11_nishiyodogawa_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.448929&mpy=34.727043&gprj=3
福町西公園,大阪市西淀川区福町2-1,21.12,2007,インフラ関係施設／公園付帯施設,直営 建設局 公園緑化部,11_nishiyodogawa_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.444626&mpy=34.696831&gprj=3
佃公園,大阪市西淀川区佃5-7,19.20,1997,インフラ関係施設／公園付帯施設,直営 建設局 公園緑化部,11_nishiyodogawa_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.434921&mpy=34.711395&gprj=3
矢倉緑地公園,大阪市西淀川区西島2-1,46.23,2000,インフラ関係施設／公園付帯施設,直営 建設局 公園緑化部,11_nishiyodogawa_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.424408&mpy=34.692162&gprj=3
野里公園,大阪市西淀川区野里1-9,13.45,1966,インフラ関係施設／公園付帯施設,直営 建設局 公園緑化部,11_nishiyodogawa_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.463242&mpy=34.708401&gprj=3
もと西淀川児童館,大阪市西淀川区柏里3-17-1,126.00,1966,もと施設,こども青少年局 幼保施策部,11_nishiyodogawa_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.46582&mpy=34.712547&gprj=3
もと香蓑子どもの家,大阪市西淀川区御幣島2-4-20,97.79,1981,もと施設,こども青少年局 企画部,11_nishiyodogawa_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.455597&mpy=34.71244&gprj=3
もと西淀川図書館,大阪市西淀川区御幣島2-9-9,410.23,1972,もと施設,教育委員会事務局中央図書館 総務担当,11_nishiyodogawa_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.45314&mpy=34.712139&gprj=3
もと佃南小学校,大阪市西淀川区佃5-12-12,"6,619.46",1990,もと施設,教育委員会事務局総務部 施設整備課,11_nishiyodogawa_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.435562&mpy=34.713135&gprj=3
淀川図書館,大阪市淀川区新北野1-10-14,620.86,1983,教育・文化・スポーツ施設図書館／地域図書館,直営（一部委託） 教育委員会事務局中央図書館 総務担当,12_yodogawa_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.48111&mpy=34.716064&gprj=3
淀川区民センター,大阪市淀川区野中南2-1-5,"2,068.75",1975,教育・文化・スポーツ施設会館・ホール／区役所附設会館,指定管理（利用料金施設）淀川区役所 市民協働課,12_yodogawa_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.482697&mpy=34.725208&gprj=3
共同利用施設（西三国センター）,大阪市淀川区十八条3-1-65,506.25,1974,教育・文化・スポーツ施設会館・ホール／共同利用施設,指定管理（無料施設）環境局 環境管理部 環境規制課,12_yodogawa_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.490524&mpy=34.74506&gprj=3
共同利用施設（三国センター）,大阪市淀川区西三国3-18-12,506.25,1974,教育・文化・スポーツ施設会館・ホール／共同利用施設,指定管理（無料施設）環境局 環境管理部 環境規制課,12_yodogawa_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.486618&mpy=34.739326&gprj=3
共同利用施設（東三国センター）,大阪市淀川区東三国6-3-14,558.43,1974,教育・文化・スポーツ施設会館・ホール／共同利用施設,指定管理（無料施設）環境局 環境管理部 環境規制課,12_yodogawa_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.496033&mpy=34.744518&gprj=3
共同利用施設（北中島センター）,大阪市淀川区宮原5-3-13,558.43,1974,教育・文化・スポーツ施設会館・ホール／共同利用施設,指定管理（無料施設）環境局 環境管理部 環境規制課,12_yodogawa_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.496078&mpy=34.738655&gprj=3
共同利用施設（西中島センター）,大阪市淀川区西中島3-11-11,508.94,1975,教育・文化・スポーツ施設会館・ホール／共同利用施設,指定管理（無料施設）環境局 環境管理部 環境規制課,12_yodogawa_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.499878&mpy=34.727177&gprj=3
共同利用施設（宮原センター）,大阪市淀川区西宮原1-6-12,511.31,1981,教育・文化・スポーツ施設会館・ホール／共同利用施設,指定管理（無料施設）環境局 環境管理部 環境規制課,12_yodogawa_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.491364&mpy=34.732204&gprj=3
淀川スポーツセンター,大阪市淀川区西宮原2-1-17･18,"2,832.83",－,教育・文化・スポーツ施設スポーツ施設／スポーツセンター,指定管理（利用料金施設）経済戦略局 ｽﾎﾟｰﾂ部 ｽﾎﾟｰﾂ課,12_yodogawa_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.492523&mpy=34.734081&gprj=3
淀川屋内プール,大阪市淀川区十三東2-3-1,"3,009.58",2008,教育・文化・スポーツ施設スポーツ施設／屋内プール,指定管理（利用料金施設）経済戦略局 ｽﾎﾟｰﾂ部 ｽﾎﾟｰﾂ課,12_yodogawa_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.487106&mpy=34.721107&gprj=3
西中島幼稚園,大阪市淀川区西中島7-14-41,"1,207.34",1976,教育・文化・スポーツ施設幼稚園／幼稚園,直営 こども青少年局 幼保施策部,12_yodogawa_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.495361&mpy=34.729855&gprj=3
田川幼稚園,大阪市淀川区田川2-2-26,976.55,1982,教育・文化・スポーツ施設幼稚園／幼稚園,直営 こども青少年局 幼保施策部,12_yodogawa_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.473526&mpy=34.721432&gprj=3
新高幼稚園,大阪市淀川区新高1-15-67,768.95,1977,教育・文化・スポーツ施設幼稚園／幼稚園,直営 こども青少年局 幼保施策部,12_yodogawa_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.48082&mpy=34.732212&gprj=3
淀川区老人福祉センター,大阪市淀川区野中南2-1-5,446.39,1975,社会福祉・保健施設老人福祉施設／老人福祉センター,指定管理（無料施設）福祉局 高齢者施策部 高齢福祉課,12_yodogawa_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.482697&mpy=34.725208&gprj=3
加島第1保育所,大阪市淀川区加島1-32-17,"1,569.59",1971,社会福祉・保健施設児童福祉施設／公立保育所（公設置公営）,直営 こども青少年局 幼保施策部,12_yodogawa_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.459518&mpy=34.725807&gprj=3
三国保育所,大阪市淀川区西宮原2-6-57,603.91,1978,社会福祉・保健施設児童福祉施設／公立保育所（公設置公営）,直営 こども青少年局 幼保施策部,12_yodogawa_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.489105&mpy=34.736557&gprj=3
木川第1保育所,大阪市淀川区木川西4-4-3,377.51,1973,社会福祉・保健施設児童福祉施設／公立保育所（公設置公営）,直営 こども青少年局 幼保施策部,12_yodogawa_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.488953&mpy=34.727661&gprj=3
西加島保育所,大阪市淀川区加島4-19-50,527.90,1969,社会福祉・保健施設児童福祉施設／公立保育所（公設置民営）,全部委託 こども青少年局 幼保施策部,12_yodogawa_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.451019&mpy=34.732643&gprj=3
木川第2保育所,大阪市淀川区三国本町1-13-16,510.99,1973,社会福祉・保健施設児童福祉施設／公立保育所（公設置民営）,全部委託 こども青少年局 幼保施策部,12_yodogawa_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.488083&mpy=34.7313&gprj=3
もと淀川勤労青少年ホーム（淀川区子ども・子育てプラザ）,大阪市淀川区新高1-11-19,603.10,1986,社会福祉・保健施設児童福祉施設／子ども・子育てプラザ,全部委託 こども青少年局 子育て支援部,12_yodogawa_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.479736&mpy=34.730385&gprj=3
十三休日急病診療所,大阪市淀川区十三東1-11-26,140.17,－,社会福祉・保健施設保健関係施設／診療所,全部委託 健康局 健康推進部,12_yodogawa_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.486694&mpy=34.719982&gprj=3
淀川区役所,大阪市淀川区十三東2-3-3,"9,375.95",2009,庁舎・事務所／区役所,直営（一部委託） 淀川区役所,12_yodogawa_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.486923&mpy=34.72102&gprj=3
淡路・三国東土地区画整理事務所,大阪市淀川区西宮原2-6-54,549.35,2002,庁舎・事務所／土地区画整理事務所,直営 都市整備局 市街地整備部,12_yodogawa_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.488785&mpy=34.736523&gprj=3
十三工営所,大阪市淀川区野中南2-8-41,"1,449.37",1971,庁舎・事務所／工営所,直営 建設局 北部方面管理事務所十三工営所,12_yodogawa_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.482285&mpy=34.726166&gprj=3
十三公園事務所,大阪市淀川区十三元今里1-1-41,341.71,1993,庁舎・事務所／公園事務所,直営 建設局 公園緑化部,12_yodogawa_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.476212&mpy=34.717438&gprj=3
道路高架下建設局事務所,大阪市淀川区××××××××,179.47,1965,庁舎・事務所／その他事務所・営業所,その他 建設局 総務部,12_yodogawa_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.486664&mpy=34.721111&gprj=3
淀川消防署,大阪市淀川区木川東4-10-12,"3,634.07",2004,庁舎・事務所／消防局庁舎・消防署消防署,直営 消防局 総務部,12_yodogawa_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.491364&mpy=34.727642&gprj=3
淀川消防署十三橋出張所,大阪市淀川区野中南2-1-1,311.08,1992,庁舎・事務所／消防局庁舎・消防署消防出張所,直営 消防局 総務部,12_yodogawa_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.483139&mpy=34.725296&gprj=3
淀川消防署加島出張所,大阪市淀川区加島1-57-34,739.86,1960,庁舎・事務所／消防局庁舎・消防署消防出張所,直営 消防局 総務部,12_yodogawa_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.462036&mpy=34.728821&gprj=3
淀川消防署東三国出張所,大阪市淀川区東三国2-17-4,367.72,1971,庁舎・事務所／消防局庁舎・消防署消防出張所,直営 消防局 総務部,12_yodogawa_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.501312&mpy=34.741924&gprj=3
新東三国社会福祉会館,大阪市淀川区東三国2-22-10,222.26,1980,一般会計その他施設地域利用施設／地域集会施設,無償貸付 淀川区役所,12_yodogawa_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.49939&mpy=34.74342&gprj=3
西三国社会福祉会館老人憩の家,大阪市淀川区西三国1-21-1,273.93,1984,一般会計その他施設地域利用施設／地域集会施設,無償貸付 淀川区役所,12_yodogawa_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.492432&mpy=34.743729&gprj=3
東三国社会福祉会館老人憩の家,大阪市淀川区東三国6-12-11,217.63,1987,一般会計その他施設地域利用施設／地域集会施設,無償貸付 淀川区役所,12_yodogawa_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.494461&mpy=34.744251&gprj=3
加島東霊園,大阪市淀川区加島1-20-33,30.42,2000,一般会計その他施設斎場・霊園／霊園施設,その他 環境局 総務部,12_yodogawa_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.459061&mpy=34.724476&gprj=3
十三地下水位観測所,大阪市淀川区十三元今里1-1,11.20,1960,一般会計その他施設一般会計その他施設測定局・観測局／地盤沈下・地下水位観測所,直営 環境局 環境管理部,12_yodogawa_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.477081&mpy=34.717731&gprj=3
三国自転車保管所管理事務所,大阪市淀川区三国本町2-19-2,27.47,2005,インフラ関係施設／自転車保管所管理事務所,全部委託 建設局 総務部,12_yodogawa_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.484146&mpy=34.732979&gprj=3
神崎川第2自転車保管所管理事務所,大阪市淀川区東三国3-12,16.72,1989,インフラ関係施設／自転車保管所管理事務所,直営 建設局 総務部,12_yodogawa_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.499207&mpy=34.74873&gprj=3
十八条自転車保管所管理事務所,大阪市淀川区東三国3-11,26.32,1995,インフラ関係施設／自転車保管所管理事務所,直営 建設局 総務部,12_yodogawa_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.498199&mpy=34.746864&gprj=3
宮原自転車保管所管理事務所,大阪市淀川区宮原1-19,24.30,2012,インフラ関係施設／自転車保管所管理事務所,全部委託 建設局 総務部,12_yodogawa_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.499191&mpy=34.737305&gprj=3
十三駅西自転車駐車場管理事務所,大阪市淀川区新北野1-1-26,13.39,1988,インフラ関係施設／自転車駐車場管理事務所,指定管理（利用料金施設）建設局 総務部 管理課,12_yodogawa_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.482513&mpy=34.718441&gprj=3
新大阪駅北口自転車駐車場管理事務所,大阪市淀川区宮原1-1,12.56,1996,インフラ関係施設／自転車駐車場管理事務所,指定管理（利用料金施設）建設局 総務部 管理課,12_yodogawa_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.500046&mpy=34.733997&gprj=3
新大阪駅南口自転車駐車場管理事務所,大阪市淀川区西中島5-5,3.89,1990,インフラ関係施設／自転車駐車場管理事務所,指定管理（利用料金施設）建設局 総務部 管理課,12_yodogawa_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.500137&mpy=34.730541&gprj=3
西中島南方駅自転車駐車場管理事務所,大阪市淀川区西中島3-16,12.56,1991,インフラ関係施設／自転車駐車場管理事務所,指定管理（利用料金施設）建設局 総務部 管理課,12_yodogawa_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.499619&mpy=34.726158&gprj=3
