未利用地登録年度,番号,所在（区）,町丁目,地番,街区番号,面積（㎡）,土地所管局,財産名称,現状,活用方針,分類基準,処分目途,貸付等の活用状況,備考,マップナビおおさかへのリンク,住居表示,緯度,経度,ジオコード精度
2006,616,住吉区,苅田１０丁目,17‐1,2番,160,建設局,大和川公園,空地,事業予定地,基準７,,貸付不可,,http://www.mapnavi.city.osaka.lg.jp/osakacity/ApiDetail/LinkToMap?mid=70&mtl=70000&fldno=15&fid=92,大阪府大阪市住吉区苅田１０丁目2番,34.593685,135.514709,街区番号
2006,623,住吉区,苅田１０丁目,504‐8内外,8番,123,都市整備局,もと浅香第４住宅,空地,処分検討地,基準２,A,貸付不可,,http://www.mapnavi.city.osaka.lg.jp/osakacity/ApiDetail/LinkToMap?mid=70&mtl=70000&fldno=15&fid=108,大阪府大阪市住吉区苅田１０丁目8番,34.592953,135.513779,街区番号
2006,627,住吉区,帝塚山東５丁目,57‐3外,11番,266,都市整備局（住環境整備課）,住吉住宅,空地,処分検討地,基準２,A,貸付不可,,http://www.mapnavi.city.osaka.lg.jp/osakacity/ApiDetail/LinkToMap?mid=70&mtl=70000&fldno=15&fid=109,大阪府大阪市住吉区帝塚山東５丁目11番,34.612305,135.499039,街区番号
2006,633,住吉区,庭井２丁目,14‐1外,19番,10771,建設局,大和川公園,広場,事業予定地,基準７,,活用中,,http://www.mapnavi.city.osaka.lg.jp/osakacity/ApiDetail/LinkToMap?mid=70&mtl=70000&fldno=15&fid=94,大阪府大阪市住吉区庭井２丁目19番,34.594048,135.515884,街区番号
2006,638,住吉区,南住吉１丁目,66,21番,727,都市整備局,南住吉第9住宅,コミュニティ広場,事業予定地,基準７,,活用中,,http://www.mapnavi.city.osaka.lg.jp/osakacity/ApiDetail/LinkToMap?mid=70&mtl=70000&fldno=15&fid=95,大阪府大阪市住吉区南住吉１丁目21番,34.610039,135.502029,街区番号
2006,643‐1,住吉区,南住吉４丁目,43外,14番,2754,都市整備局,南住吉住宅,空地,事業予定地,基準７,,貸付可能,,http://www.mapnavi.city.osaka.lg.jp/osakacity/ApiDetail/LinkToMap?mid=70&mtl=70000&fldno=15&fid=106,大阪府大阪市住吉区南住吉４丁目14番,34.602226,135.500656,街区番号
2006,644,住吉区,山之内４丁目,102‐1,4番,3943,建設局,大和川公園,広場,事業予定地,基準８,,活用中,,http://www.mapnavi.city.osaka.lg.jp/osakacity/ApiDetail/LinkToMap?mid=70&mtl=70000&fldno=15&fid=97,大阪府大阪市住吉区山之内４丁目4番,34.588524,135.502258,街区番号
2006,646,住吉区,山之内４丁目,110‐1内,3番,1884,都市整備局,山之内住宅,防災倉庫/コミュニティ広場,事業予定地,基準７,,活用中,,http://www.mapnavi.city.osaka.lg.jp/osakacity/ApiDetail/LinkToMap?mid=70&mtl=70000&fldno=15&fid=98,大阪府大阪市住吉区山之内４丁目3番,34.589291,135.502335,街区番号
2006,648,東住吉区,北田辺１丁目,62‐1,8番,2381,建設局,大塚町公園,墓地,継続保有地,基準５,,貸付不可,,http://www.mapnavi.city.osaka.lg.jp/osakacity/ApiDetail/LinkToMap?mid=70&mtl=70000&fldno=15&fid=433,大阪府大阪市東住吉区北田辺１丁目8番,34.636208,135.524521,街区番号
2006,660,東住吉区,住道矢田３丁目,11‐1,2番,1426,経済戦略局,もと産業用共同施設,空地,処分検討地,基準２,A,貸付不可,,http://www.mapnavi.city.osaka.lg.jp/osakacity/ApiDetail/LinkToMap?mid=70&mtl=70000&fldno=15&fid=437,大阪府大阪市東住吉区住道矢田３丁目2番,34.599461,135.53273,街区番号
